original_feature,display_feature,input_type,default_value,p01,p99,min_value,max_value,mean_abs_shap
urine_output_mean,Mean Urine Output,continuous,130.55718124999999,8.698603607499999,580.277385225,0.119189511,630000.0,0.6357785
weight,Weight,continuous,82.0,44.2,158.9,1.0,30168.43753,0.34064847
has_diuretics,Diuretics,binary,1.0,0.0,1.0,0.0,1.0,0.27537754
sofa_score,SOFA,continuous,5.0,1.0,16.0,0.0,22.0,0.10523993
bicarbonate_last_mean_diff,Delta Bicarbonate,continuous,0.115439953,0.0,6.666666667,0.0,14.42857143,0.094281636
has_ventilation,Ventilation,binary,1.0,0.0,1.0,0.0,1.0,0.08684893
egfr_last_mean_diff,Delta eGFR,continuous,0.0,0.0,36.285,0.0,652.84,0.08496934
creatinine_last_mean_diff,Delta Creatinine,continuous,0.0,0.0,0.472727273,0.0,1.8,0.071462914
age,Age,continuous,72.35170943,31.20954151,93.15598494,18.38905712,99.5449225,0.06565356
potassium_last_mean_diff,Delta Potassium,continuous,0.0,0.0,0.975,0.0,9.817647059,0.060928766
